// HSK 2012-2018/Level 1
世纪	shi4ji4
是否	shi4fou3
适合	shi4he2
适应	shi4ying4
收	shou1
收入	shou1ru4
收拾	shou1shi5
首都	shou3du1
首先	shou3xian1
受不了	shou4bu5liao3
受到	shou4dao4
售货员	shou4huo4yuan2
输	shu1
熟悉	shu2xi5
数量	shu4liang4
数字	shu4zi4
帅	shuai4
顺便	shun4bian4
顺利	shun4li4
顺序	shun4xu4
说明	shuo1ming2
硕士	shuo4shi4
死	si3
速度	su4du4
塑料袋	su4liao4dai4
酸	suan1
随便	sui2//bian4
随着	sui2zhe5
孙子	sun1zi5
所有	suo3you3
台	tai2
抬	tai2
态度	tai4du5
谈	tan2
弹钢琴	tan2 gang1qin2
汤	tang1
糖	tang2
躺	tang3
趟	tang4
讨论	tao3lun4
讨厌	tao3//yan4
特点	te4dian3
提	ti2
提供	ti2gong1
提前	ti2qian2
提醒	ti2//xing3
填空	tian2//kong4
条件	tiao2jian4
停	ting2
挺	ting3
通过	tong1guo4
通知	tong1zhi1
同情	tong2qing2
同时	tong2shi2
推	tui1
推迟	tui1chi2
脱	tuo1
袜子	wa4zi5
完全	wan2quan2
网球	wang3qiu2
网站	wang3zhan4
往往	wang3wang3
危险	wei1xian3
卫生间	wei4sheng1jian1
味道	wei4dao5
温度	wen1du4
文章	wen2zhang1
污染	wu1ran3
无	wu2
无聊	wu2liao2
无论	wu2lun4
误会	wu4hui4
西红柿	xi1hong2shi4
吸引	xi1yin3
咸	xian2
现金	xian4jin1
羡慕	xian4mu4
相反	xiang1fan3
相同	xiang1tong2
香	xiang1
详细	xiang2xi4
响	xiang3
橡皮	xiang4pi2
消息	xiao1xi5
小吃	xiao3chi1
小伙子	xiao3huo3zi5
小说	xiao3shuo1
笑话	xiao4hua5
效果	xiao4guo3
心情	xin1qing2
辛苦	xin1ku3
信封	xin4feng1
信息	xin4xi1
信心	xin4xin1
兴奋	xing1fen4
行	xing2
醒	xing3
幸福	xing4fu2
性别	xing4bie2
性格	xing4ge2
修理	xiu1li3
许多	xu3duo1
学期	xue2qi1
压力	ya1li4
呀	ya1
牙膏	ya2gao1
亚洲	Ya4 Zhou1
严格	yan2ge2
严重	yan2zhong4
研究	yan2jiu1
盐	yan2
眼镜	yan3jing4
演出	yan3chu1
演员	yan3yuan2
阳光	yang2guang1
养成	yang3cheng2
样子	yang4zi5
邀请	yao1qing3
要是	yao4shi5
钥匙	yao4shi5
也许	ye3xu3
叶子	ye4zi5
页	ye4
一切	yi1qie4
以	yi3
以为	yi3wei2
艺术	yi4shu4
意见	yi4jian5
因此	yin1ci3
引起	yin3qi3
印象	yin4xiang4
赢	ying2
应聘	ying4pin4
永远	yong3yuan3
勇敢	yong3gan3
优点	you1dian3
优秀	you1xiu4
幽默	you1mo4
尤其	you2qi2
由	you2
由于	you2yu2
邮局	you2ju2
友好	you3hao3
友谊	you3yi4
有趣	you3qu4
于是	yu2shi4
愉快	yu2kuai4
与	yu3
羽毛球	yu3mao2qiu2
语法	yu3fa3
语言	yu3yan2
预习	yu4xi2
原来	yuan2lai2
原谅	yuan2liang4
原因	yuan2yin1
约会	yue1hui4
阅读	yue4du2
云	yun2
允许	yun3xu3
杂志	za2zhi4
咱们	zan2men5
暂时	zan4shi2
脏	zang4
责任	ze2ren4
增加	zeng1jia1
占线	zhan4//xian4
招聘	zhao1pin4
照	zhao4
真正	zhen1zheng4
整理	zheng3li3
正常	zheng4chang2
正好	zheng4hao3
正确	zheng4que4
正式	zheng4shi4
证明	zheng4ming2
之	zhi1
支持	zhi1chi2
知识	zhi1shi5
